"","name","Year_in","Year_out","Type","City","Organization","Unit","is_elite"
"50","Быкариз",1986,1987,"Работа","Уинское, Пермский край, РФ","Райком ВЛКСМ",NA,"до"
"51","Быкариз",1987,1992,"Работа","Уинское, Пермский край, РФ","Агропромсельхозхимия",NA,"до"
"52","Быкариз",1992,1997,"Работа","Уинское, Пермский край, РФ","Малое предприятие ""Максим""",NA,"до"
"53","Быкариз",1997,2002,"Работа","Уинское, Пермский край, РФ","ООО «Миком»",NA,"до"
"54","Быкариз",1999,2001,"Учеба","Пермь, Пермский край, РФ","Высшая школа экономики","Департамент экономики и финансов","до"
"55","Быкариз",2002,2005,"Работа","Уинское, Пермский край, РФ","ООО «Стройтехресурс»",NA,"до"
"56","Быкариз",2005,2008,"Работа","Уинское, Пермский край, РФ","Администрация муниципального района",NA,"до"
"57","Быкариз",2008,2012,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"58","Быкариз",2012,2018,"Работа","Краснокамск, Пермский край, РФ","ПАО ""Газпром""","ЗАО «Газпром-газораспределение. Пермь»","после"
"59","Быкариз",2019,2021,"Работа","Краснокамск, Пермский край, РФ","Администрация города",NA,"после"
"60","Абдуллина",1966,NA,"Родился","Березники, Пермский край, РФ",NA,NA,"до"
"61","Абдуллина",1984,1989,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Неизвестно","до"
"62","Абдуллина",1994,2005,"Работа","Пермь, Пермский край, РФ","Администрация города","Департамент образования","до"
"63","Абдуллина",2005,2007,"Работа","Пермь, Пермский край, РФ","Департамент социального развития Пермской области",NA,"до"
"64","Абдуллина",2007,2008,"Работа","Пермь, Пермский край, РФ","Агентство по управлению социальными службами",NA,"до"
"65","Абдуллина",2008,2012,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"до"
"66","Абдуллина",2012,2017,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"элита"
"67","Абдуллина",2017,2020,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"68","Вострикова",2006,2008,"Работа","Пермь, Пермский край, РФ","Аппарат Правительства Пермского края","Департамент развития человеческого потенциала","до"
"69","Вострикова",2008,2010,"Работа","Пермь, Пермский край, РФ","Агентство по управлению социальными службами",NA,"до"
"70","Вострикова",2010,2012,"Работа","Пермь, Пермский край, РФ","Агентство по управлению социальными службами",NA,"элита"
"71","Вострикова",2012,2014,"Работа","Пермь, Пермский край, РФ","Территориальное управление Минсоцразвития России",NA,"после"
"72","Вострикова",2014,2016,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"после"
"73","Галицына",1976,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"74","Галицына",1994,1999,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Юридический факультет","до"
"75","Галицына",1997,2001,"Работа","Пермь, Пермский край, РФ","Пермский финансово-экономический колледж",NA,"до"
"76","Галицына",2001,2004,"Работа","Пермь, Пермский край, РФ","Администрация Пермской области","Комитет социальной защиты населения","до"
"77","Галицына",2004,2006,"Работа","Пермь, Пермский край, РФ","Департамент социального развития Пермской области",NA,"до"
"78","Галицына",2006,2008,"Работа","Пермь, Пермский край, РФ","Министерство социального развития",NA,"элита"
"79","Галицына",2007,2012,"Работа","Пермь, Пермский край, РФ","Пермский государственный университет","Кафедра государственного и муниципального управления","до"
"80","Галицына",2008,2012,"Работа","Пермь, Пермский край, РФ","Правительство Пермского края",NA,"элита"
"81","Галицына",2012,2020,"Работа","Пермь, Пермский край, РФ","ОАО ""ТГК-9""",NA,"после"
"82","Герман",1981,NA,"Родился","Пермь, Пермский край, РФ",NA,NA,"до"
"83","Герман",1998,2004,"Учеба","Пермь, Пермский край, РФ","Пермский государственный университет","Географический факультет","до"
"84","Герман",2002,2004,"Работа","Пермь, Пермский край, РФ","ООО ""KONSORT""",NA,"до"
