Artist;Gender;Museums
ЛехтФ;0;0
ЛиберихНИ;0;0
ЛиберманнМ;0;0
ЛибшерК;0;0
ЛизакИЛ;0;0
ЛиндеманАЭ;0;0
Липа;0;0
ЛипгартЭК;0;1
ЛисенерЕА;0;0
ЛисицинБМ;0;0
ЛисснерЭЭ;0;0
ЛитвиненкоАМ;0;0
ЛитвиновИИ;0;0
ЛитовченкоНД;0;0
Лихачева;1;0
ЛихачевКА;0;0
ЛищевВВ;0;0
Лобанов;0;0
ЛобужинскийМВ;0;0
ЛоккенбергВА;0;0
ЛоренцНЕ;0;0
ЛоренцНФ;0;0
ЛосеваВИ;1;0
ЛосевНД;0;0
Луговская-ДягилеваТА;1;0
ЛузановСЭ;0;0
ЛукичЖА;0;0
ЛукомскийГК;0;0
Лукш-МаковскаяЕ;0;0
ЛупановАР;0;0
ЛучшевСЯ;0;0
ЛыпиловКМ;0;0
ЛысенкоАВ;0;0
ЛысенкоКА;0;0
ЛысовЯИ;0;0
ЛьвовИА;0;0
ЛьвовПИ;0;0
ЛюбавинаН;1;0
ЛякинТП;0;0
ЛяликоваЕИ;1;0
ЛясковскаяОА;1;0
МагдесианЭЯ;0;0
МадейскийАБ;0;0
МазуровскийВВ;0;0
МайейргаймП;0;0
МайковНА;0;0
МаймонМЛ;0;0
МакаревскийАД;0;0
МакароваНД;1;0
МакаровИК;0;0
Мак-НейлУД;0;0
МакоАЭ;0;0
МаковскаяАЕ;1;0
МаковскийАВ;0;1
МаковскийВЕ;0;14
МаковскийКГ;0;0
МаковскийКЕ;0;15
МаковскийНЕ;0;0
Маковский-ПогорельскийЯК;0;0
МаксГ;0;0
МаксимовАО;0;0
МаксимовВМ;0;5
МаксимовМВ;0;0
МалаховскаяМА;1;0
Малеваная-ЗарыцкаяИА;1;0
МалевичКС;0;12
МалешевскаяЕМ;1;0
МалининИС;0;0
МалышевВК;0;0
МалышевЕИ;0;0
МалышевМГ;0;0
МалышевМЕ;0;0
МалышевНТ;0;0
МалютинСВ;0;0
МалявинФА;0;10
МамонтовМА;0;1
МамонтовСС;0;0
МанасеинаТВ;1;0
МанганариАВ;0;0
МанизерГМ;0;0
МаныламММ;0;0
МардеросовЛИ;0;0
МаринаЗВ;1;0
МаркеловСП;0;0
МаркичевМА;0;0
МарковАА;0;0
МарковБН;0;0
МартынА;0;0
МартыновА;0;0
МартыноваЕН;1;0
МартыновДН;0;0
МартыновичАС;0;0
МаслениковНЕ;0;0
МасютинВН;0;0
МатвеевАТ;0;0
МатвеевМА;0;0
МатвеевНС;0;0
МатвеевСА;0;0
МатвейВИ;0;0
МатэВВ;0;0
МатюшинМВ;0;0
МаурицдеВламик;0;0
МацкевичИИ;0;0
МашарГ;0;0
Машинский;0;0
МашковВН;0;0
МашковИ;0;0
МаяковскийВВ;0;0
МедемПР;0;0
Мейердал;0;0
МейзейМО;0;0
МейзеМО;0;0
МейстерЛ;0;0
МенарР;0;0
МенделевичИА;0;0
МензгаузенЕФ;0;0
МенкВК;0;0
МенсгаузенЕФ;0;0
Мери;1;0
МертенЕП;0;0
МесниковКИ;0;0
МетловаАА;0;0
МещеринНВ;0;0
МещерскийАИ;0;0
МизернюкМЯ;0;0
МикешинаТЛ;1;0
МикешинСМ;0;0
МикулиА;0;0
МилевскийИР;0;0
МилиотиНД;0;3
МиллерЕВ;0;0
МиллерЭА;0;0
МилорадовичСД;0;0
МилославинФА;0;0
МильманА;0;0
МилютиНД;0;0
Минасианц;0;0
МинченковЯД;0;0
МироновичПН;0;0
МиссАВ;0;0
МитрохинДИ;0;0
МитяевПН;0;0
МихайловаКИ;1;0
МихайловаОП;0;0
МихайловИИ;0;0
МихайловИТ;0;0
МихайловММ;0;0
МихайловПН;0;0
МихайловскаяНВ;1;0
МихайловскийАН;0;0
МихальцеваЕП;1;0
МихеевМИ;0;0
МишеваЕИ;1;0
МогилевскийАП;0;0
МодоровФА;0;0
МокиевскаяМИ;1;0
МоласНП;0;0
МоллерФА;0;0
МоллотТА;0;0
МоловМВ;0;0
МоловМЦ;0;0
МолявкинИВ;0;0
МоравовАВ;0;0
МоргуновАА;0;0
МордасевичКЛ;0;0
МордовинВИ;0;0
МоревНН;0;0
